capability,cold_bin,method,n,accuracy,macro_f1
126,all_cold,lir_pptd,139,0.9928057553956835,0.9859612178643502
126,all_cold,cowa,139,0.9928057553956835,0.9859612178643502
126,all_cold,no_hr,139,0.9928057553956835,0.9859612178643502
126,all_cold,mv,139,0.9928057553956835,0.9859612178643502
126,all_cold,lir_reset30d,139,0.9928057553956835,0.9859612178643502
126,history_all,lir_pptd,19425,0.9536679536679536,0.937179938685777
126,history_all,cowa,19425,0.9483655083655084,0.9308440296064275
126,history_all,no_hr,19425,0.9231917631917632,0.9013661759818078
126,history_all,mv,19425,0.9231917631917632,0.9013661759818078
126,history_all,lir_reset30d,19425,0.9536679536679536,0.937179938685777
126,majority_cold,lir_pptd,180,0.9777777777777777,0.971104288038629
126,majority_cold,cowa,180,0.9722222222222222,0.9544376213719624
126,majority_cold,no_hr,180,0.9777777777777777,0.9707502654240887
126,majority_cold,mv,180,0.9777777777777777,0.9707502654240887
126,majority_cold,lir_reset30d,180,0.9777777777777777,0.971104288038629
126,minority_cold,lir_pptd,2878,0.9416261292564281,0.9282076966736185
126,minority_cold,cowa,2878,0.9388464211257818,0.9256085167055955
126,minority_cold,no_hr,2878,0.9242529534398888,0.9122745820606418
126,minority_cold,mv,2878,0.9242529534398888,0.9122745820606418
126,minority_cold,lir_reset30d,2878,0.9416261292564281,0.9282076966736185
